ret.adjusted.prices.ref.date,ret.adjusted.prices.AAL.L,ret.adjusted.prices.ABDN.L,ret.adjusted.prices.ABF.L,ret.adjusted.prices.ADM.L,ret.adjusted.prices.AHT.L,ret.adjusted.prices.ANTO.L,ret.adjusted.prices.AUTO.L,ret.adjusted.prices.AV.L,ret.adjusted.prices.AVST.L,ret.adjusted.prices.AVV.L,ret.adjusted.prices.AZN.L,ret.adjusted.prices.BA.L,ret.adjusted.prices.BARC.L,ret.adjusted.prices.BATS.L,ret.adjusted.prices.BDEV.L,ret.adjusted.prices.BHP.L,ret.adjusted.prices.BKG.L,ret.adjusted.prices.BLND.L,ret.adjusted.prices.BME.L,ret.adjusted.prices.BNZL.L,ret.adjusted.prices.BP.L,ret.adjusted.prices.BRBY.L,ret.adjusted.prices.BT.A.L,ret.adjusted.prices.CCH.L,ret.adjusted.prices.CPG.L,ret.adjusted.prices.CRDA.L,ret.adjusted.prices.CRH.L,ret.adjusted.prices.DCC.L,ret.adjusted.prices.DGE.L,ret.adjusted.prices.ENT.L,ret.adjusted.prices.EVR.L,ret.adjusted.prices.EXPN.L,ret.adjusted.prices.FERG.L,ret.adjusted.prices.FLTR.L,ret.adjusted.prices.FRES.L,ret.adjusted.prices.GLEN.L,ret.adjusted.prices.GSK.L,ret.adjusted.prices.HIK.L,ret.adjusted.prices.HL.L,ret.adjusted.prices.HLMA.L,ret.adjusted.prices.HSBA.L,ret.adjusted.prices.IAG.L,ret.adjusted.prices.ICP.L,ret.adjusted.prices.IHG.L,ret.adjusted.prices.III.L,ret.adjusted.prices.IMB.L,ret.adjusted.prices.INF.L,ret.adjusted.prices.ITRK.L,ret.adjusted.prices.JD.L,ret.adjusted.prices.JET.L,ret.adjusted.prices.JMAT.L,ret.adjusted.prices.KGF.L,ret.adjusted.prices.LAND.L,ret.adjusted.prices.LGEN.L,ret.adjusted.prices.LLOY.L,ret.adjusted.prices.LSEG.L,ret.adjusted.prices.MNDI.L,ret.adjusted.prices.MNG.L,ret.adjusted.prices.MRO.L,ret.adjusted.prices.MRW.L,ret.adjusted.prices.NG.L,ret.adjusted.prices.NWG.L,ret.adjusted.prices.NXT.L,ret.adjusted.prices.OCDO.L,ret.adjusted.prices.PHNX.L,ret.adjusted.prices.PNN.L,ret.adjusted.prices.POLY.L,ret.adjusted.prices.PRU.L,ret.adjusted.prices.PSH.L,ret.adjusted.prices.PSN.L,ret.adjusted.prices.PSON.L,ret.adjusted.prices.RDSA.L,ret.adjusted.prices.RDSB.L,ret.adjusted.prices.REL.L,ret.adjusted.prices.RIO.L,ret.adjusted.prices.RKT.L,ret.adjusted.prices.RMV.L,ret.adjusted.prices.RR.L,ret.adjusted.prices.RSAB.L,ret.adjusted.prices.RTO.L,ret.adjusted.prices.SBRY.L,ret.adjusted.prices.SDR.L,ret.adjusted.prices.SGE.L,ret.adjusted.prices.SGRO.L,ret.adjusted.prices.SKG.L,ret.adjusted.prices.SMDS.L,ret.adjusted.prices.SMIN.L,ret.adjusted.prices.SMT.L,ret.adjusted.prices.SN.L,ret.adjusted.prices.SPX.L,ret.adjusted.prices.SSE.L,ret.adjusted.prices.STAN.L,ret.adjusted.prices.STJ.L,ret.adjusted.prices.SVT.L,ret.adjusted.prices.TSCO.L,ret.adjusted.prices.TW.L,ret.adjusted.prices.ULVR.L,ret.adjusted.prices.UU.L,ret.adjusted.prices.VOD.L,ret.adjusted.prices.WPP.L,ret.adjusted.prices.WTB.L
28/09/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/09/2020,0.009192159,0.014479655,-0.007735426,-0.023746697,0.021637185,-0.005797133,0.006106334,-0.023509439,-0.011926583,0.00724938,0.003525618,-0.011743201,-0.007653063,-0.023516965,-0.004412713,-0.014869067,-0.009324086,-0.0422332,0.040375238,0.003610018,-0.021966238,0.00473484,-0.024327038,-0.02368821,-0.017886179,0.005787744,-0.000700025,-0.013114698,-0.011401852,0.039573483,0.012213211,-0.00033848,0.060140269,0.000402414,0.025138392,-0.01470396,-0.005194119,0.012573719,-0.017682319,0.016986051,-0.032571598,-0.03601697,-0.018333275,-0.009178744,-0.002244013,-0.022127156,-0.013782089,0.008498633,-0.01997044,0.013435256,0.005959895,0.008193883,-0.031196706,-0.020111158,-0.017484435,0.005201153,0.034655021,-0.011020258,-0.022466841,-0.015772817,0.039464322,-0.023765176,-0.015687546,0.014010508,-0.015863881,-0.00807981,0.019987857,-0.009158281,-0.00489003,-0.01921536,-0.011123038,-0.018555414,-0.021383291,-0.007200504,0.007160371,0.007672007,0.002260264,-0.059295772,0,0.006615315,-0.029685513,-0.020704629,0.009070995,-0.024103928,0.036290423,0.009847139,0.022288267,0,0.009124737,0.00450653,0.022278207,-0.028452961,-0.016810153,-0.000405487,-0.013761531,-0.000474893,-0.001247184,0.000456782,-0.008847868,-0.007902622,-0.030036969
30/09/2020,0.005036456,0.00802851,0.004032235,0.008108074,-0.011648452,-0.005344994,0.004998186,-0.003140175,-0.02135562,-0.015833951,-0.00960285,-0.012497502,0.003701857,-0.001617632,0.004221236,-0.009463273,-0.005176444,0.019027484,-0.030380261,0.00199842,-0.01788055,-0.023562713,0.005313673,-0.002348051,-0.032284768,-0.000959073,-0.020665469,-0.001993376,0.002079844,-0.039447732,0.014126007,-0.011175136,-0.006359683,-0.014481094,-0.004987483,-0.00740012,-0.002473167,0.006596751,0.004178711,0.004282687,0.010050213,0.044175791,0.012733308,-0.001950268,0.018810099,-0.00182483,0.011824762,-0.011548077,0.018113249,-0.006628571,-0.002539062,0.004740995,0.019711052,0.017283328,0.008610729,-0.001574817,-0.010561253,0.015600239,0.001734425,-0.008450061,0.00542377,0.012410501,0.008816557,-0.052158895,0.008499401,-0.011978879,0.003265991,-0.023767634,0.034398054,0.009387576,-0.003628403,-0.020227716,-0.01704128,0.00145056,-0.011990765,-0.007613595,0.009664854,-0.074075149,0,-0.022271089,-0.009852179,-0.000371029,-0.018251192,0.001288637,-0.014267175,-0.009078606,-0.000726757,0.009164951,0.015740054,-0.007178081,-0.006578816,0.012510599,-0.005129344,-0.010547659,-0.011628033,0.030403836,-0.006035374,-0.023282451,-0.003687157,0.008961163,0.012386851
01/10/2020,0.002132481,0.031858476,0.018741636,0.011872773,0.009642892,-0.017586686,0.014209588,0.000349903,0.005692616,0.006895202,0.002601366,0.009128669,0.003995436,0.004257159,0.028793612,-0.00495834,0.023178855,0.008891421,0.017586417,-0.000398806,-0.031083553,0.024774774,0.005082334,0.028504183,-0.000855432,0.011840002,-0.002145982,-0.066245077,0.007735747,0.029774127,-0.011897879,0.006164432,0.016129033,0.004489796,0.027151211,-0.009816143,-0.005647385,0.004240541,0.020806608,0.02217486,0.010281974,-0.012628889,0.005867639,-0.027845628,0.030503694,0.001096841,0.013014592,0.005367864,-0.001976878,0.006672803,0.014000869,-0.003033417,0.00478462,0.018316886,0.006640231,0.026137926,0.032021951,-0.000627053,0.040692488,0.008228172,0.022701726,0.013672813,0.026890738,-0.009475219,0.008718401,0.030067867,0.003847325,-0.001352534,-0.011876382,0.014961721,-0.002185129,-0.037244529,-0.034992559,-0.002027828,-0.001503615,0.019312172,0.019144875,-0.101538156,0,0.005227913,-0.003404041,0.017439773,0.002497199,0.02380946,0.02894743,0.034950758,0.022909069,0.003027301,0.020638653,-0.001807517,0.038079316,0.001404115,0.017830216,0.023370177,-0.008470659,0.005532509,0.006072021,0.031315779,-0.009544299,0.008552724,0.013176471
02/10/2020,-0.005213355,0.029588298,0.006044703,0.011733654,0.002829898,-0.003978143,0.007005198,0.006298277,-0.025471829,-0.004565238,-0.005660971,0.013980305,-0.002959195,0.005846925,0.00326865,0.005469156,0.006934739,0.025852055,-0.021851476,0.006783719,-0.017415152,-0.018838271,-0.001820388,-0.007373522,-0.006421233,-0.000316175,0.003584269,-0.015686199,0.004680829,-0.007976072,0.027900141,0.004424711,0.00655073,-0.004876067,0.015046673,0.014932787,0.000554124,0.009213038,0.014424611,-0.009178167,0.011818756,-0.024941345,0.012500075,0.005527638,0.012658282,-0.002921704,0.014944971,0.011306494,-0.0121317,0.000914286,0.014644344,-0.004056722,0.023428695,0.020855154,0.025065898,0.009881495,0.015070989,0.00941038,-0.029533785,-0.003789055,0.018241778,0.021860437,0.005237296,-0.021707138,0.008066812,0.008474601,0,0.018510231,-0.012019304,0.010358519,0.018978194,0.005495713,-0.003637131,0.014223565,0.009788213,-0.004412101,0.025360096,-0.027396412,-0.01587303,0.010029694,0.006831336,0.012764383,-0.002490978,0.001466632,0.001918046,0.00852461,-0.001777358,-0.001509082,-0.007810009,0.000452764,0.025917195,0.009253953,0.005698681,0.012019315,-0.003322393,0.002292589,0.007700363,0.015409034,0.011012827,0.0202217,0.007895959
05/10/2020,0.004812844,0.003331916,0.00365725,0.01197154,0.015520167,0.000998508,0.004173965,0.012864849,0.00968057,0.00479469,-0.002609567,0.003852377,0.017807743,0.015077074,0.041335774,-0.001208784,0.013315042,0.009450179,0.00223397,-0.000792754,0.01585816,0.017919963,0.016210801,0.008709016,0.014218009,0.000632707,0.022857176,0.004346205,-0.000559023,0.036180905,-0.010285728,0.016265662,0.006758458,0.019191507,0.012420005,0.012116774,0.003599544,0.00076076,0.007727992,0.007578942,0.003731327,0.000655859,0.024691297,0.018990505,0.014903833,0.013186781,0.033583053,-0.005279511,-0.005012492,-0.002968714,0.012371143,0.004073246,0.003908313,0.005873314,-0.007722032,0.001957026,-0.016011745,0.019266579,0.059150804,0.00526633,-0.006043611,0.009558527,0.003907507,0.003384731,0.020863131,-0.01027075,-0.002653337,0.006648868,0.007299231,0.024053594,-0.011103118,0.026256485,0.02444689,0.006582689,-0.001597771,-0.02346196,0.030534369,0.086266463,0,-0.001838817,0.036273408,0.020885807,0.004439523,0.001673632,-0.001914374,0.007802341,-0.000712263,0.010579355,0.004919648,0.004977352,-0.001166024,0.007502198,0.017208822,-0.013460089,0.01238136,0.013723667,-0.000413171,-0.009149765,0.047267068,0.036764706,0.00875576
06/10/2020,-0.008408747,0.017849752,0.007548181,-0.019593378,0.015630513,-0.0218454,-0.012469634,0.025746746,-0.008628921,-0.019709546,-0.010940587,0.003635571,0.047561641,-0.007337118,0.027375885,-0.014159462,0.008835603,0.046808462,0.004660586,-0.002379949,0.011708081,0.003772408,0.039880358,-0.003047217,0.026762957,-0.027505587,0.025139656,-0.008294201,-0.000559429,0.009699321,0.007794543,-0.021340405,-0.013177496,0.014022436,-0.007518873,0.006963064,-0.013657058,-0.019384258,-0.012883451,-0.004178887,0.016001322,NA,0.018473864,0.056154978,-0.001421136,-0.007592221,0.037490627,-0.025913145,-0.023929494,-0.004809895,-0.009776056,0.002028359,0.024842412,0.016501587,0.035945877,-0.024739753,-0.0130177,0.01128057,0.038446094,-0.007566897,-0.001302923,0.040577141,-0.001946109,-0.088830585,-0.004759226,-0.02641519,-0.024238809,0.019815195,-0.002415486,0.02618407,0.014849613,0.026315881,0.029694379,-0.017913009,-0.007254808,-0.013614514,-0.009777774,0.215560048,0,-0.036477555,-0.007302909,0.000352748,-0.008839801,0.002297422,-0.007033324,-0.007741936,-0.004632963,-0.008973063,-0.008159192,-0.006753796,0.003891085,0.024269045,0.007839908,-0.004414125,0.006584972,0.028880833,-0.009504038,-0.008108171,0.024888535,0.012642657,0.056190041
07/10/2020,0.019750962,-0.006117449,-0.001033348,0.001885397,-0.003078043,0.020293701,-0.020694526,-0.011378938,-0.028046442,-0.003174669,-0.002645216,-0.006842412,0.003071667,-0.012078594,-0.000761356,0.019887043,0.003368429,-0.024119238,0.004840766,0.00159035,-0.020422081,-0.014093304,-0.013902253,-0.001018822,0.002482416,0.023732126,0.030313346,-0.024000064,0.006716437,0.010086455,0.012030967,-0.006814354,0.013605398,0.001975504,0.026714507,0.027538508,-0.009790211,0.004263551,-0.013051602,-0.005455339,0.003499782,0.065108138,0.024448016,0.010448108,0.010436394,-0.006557361,-0.008190783,-0.014102622,0.006709681,0.001611047,0.007404428,0.02530372,-0.015376256,-0.006493499,-0.001967489,-0.013351159,0.008992814,-0.032559661,0.02065525,-0.005865186,0.013263754,-0.011265235,0.011699663,0.024681201,-0.014908572,-0.011627806,0.008785244,-0.009931084,0.016949163,-0.018761627,-0.01177735,-0.013329304,-0.017512597,-0.029531001,0.023535605,0.002977001,-0.022142461,0.044331969,0.008064528,0.008412957,-0.003044087,-0.016219991,-0.004737995,-0.016253352,0.021893138,0.005201593,0.014321491,0.011066356,0.000329007,0.008159681,0.018216957,0.011847092,-0.013306117,-0.005642802,-0.006541894,0.020175493,0.001251607,-0.00635777,-0.010873449,0.00060902,-0.000865052
08/10/2020,-0.008526346,0.006565457,-0.019653484,0.000752721,0.016466547,0.001499289,0.004297937,0,0.014925355,0.003609382,0.009162138,-0.001621035,0.024880368,-0.003649554,0.03238095,-0.009147784,0.012309745,0.019994407,-0.001806577,-0.00913065,0.023164258,0.008259192,0.03597477,-0.002294768,0.001238135,0.006351181,0.010578528,0.004470985,0.003150431,-0.001426534,-0.000849245,0.006518015,-0.001491392,0.007492114,-0.005825138,0.002243228,0.006638468,0.021227349,-0.046284616,0.016877661,-0.004121762,0.102564103,0.039260932,-0.016314338,-0.004694824,-0.005500488,0.023075054,-0.001625428,0.011279132,-0.001378676,-0.004491534,-0.008884445,0.013411794,0.003016653,0.017025106,-0.002706209,-0.026143835,0.006232529,-0.002291424,0.003244826,0.010300366,-0.000876389,0.012528161,-0.012444801,-0.000571134,0.006862616,0.0006006,0.006977902,-0.00476184,0.002294389,-0.016251329,0.02670922,0.023695144,0.003281631,-0.004724867,-0.003507813,-0.002753953,0.2470498,0,0.004929807,0.001272176,0,0.007840915,-0.004448228,-0.026465001,-0.033311835,0.007412718,0.004975094,0.000986859,-0.001037351,0.005709986,0.0167643,-0.002489614,0.008106966,0.014581008,0.042562267,0.00270832,0.022394865,0.018871348,0.020395587,0.017316017
09/10/2020,0.035354118,0.011006948,0.006858344,0.009401983,-0.016874752,0.012475024,0.015335273,0.001015802,0.024509877,0.001903904,0.006331378,0.011365918,0.001680665,-0.007326034,0.001106886,0.012269209,-0.013265491,0.030765086,-0.006233693,-0.006410132,0.005659935,0.009766859,0.005161849,-0.002811181,0.034212696,-0.003471104,-0.006215237,0.001854556,-0.002771122,0.038571429,0.010481698,0.010906633,0.001742608,0.018003914,0.028515593,0.018965672,0.015293759,0.018518498,0.016837238,0.015767693,-0.014963407,-0.037209302,0.010370413,0.013548236,0.013207586,-0.001474956,-0.001187084,0.007489418,-0.005323187,0.012195122,-0.006972957,0.014276144,0.021754886,-0.005764385,-0.005286257,0.004070496,0.011287348,0.047383143,0.012629641,0.015289632,-0.007009338,-0.003508804,0.024428901,-0.031707317,0.007142877,-0.012658254,0.025510129,0.007362405,0.033492841,-0.013353693,0.044787208,0.020892025,0.020644484,0.006839181,0.012870501,0.004874063,0.026388461,0.142564081,0,0.020754724,0.018043217,0.001792099,0.00138929,0.004468103,0.022006417,0.021077313,0.010861912,0.0138614,0.002957576,0.013092535,-0.018925031,-0.013870748,0.014143072,-0.004423102,0.018080701,-0.008659792,0.007064126,-0.00871707,-0.000539451,0.013325188,0.022553191
