source,target,weight
Austria,Australia,251
Austria,Belgium,1449
Austria,Canada,2286
Austria,Switzerland,9140
Austria,Chile,0
Austria,Germany,55981
Austria,Spain,6824
Austria,Finland,742
Austria,France,14414
Austria,United Kingdom,6790
Austria,Italy,104238
Austria,Japan,7839
Austria,Korea,271
Austria,Netherlands,10610
Austria,Portugal,306
Austria,Sweden,693
Austria,United States,10432
Australia,Austria,552
Australia,Belgium,1127
Australia,Canada,24577
Australia,Switzerland,15519
Australia,Chile,5
Australia,Germany,27873
Australia,Spain,2899
Australia,Finland,345
Australia,France,36079
Australia,United Kingdom,71336
Australia,Italy,2273
Australia,Japan,161662
Australia,Korea,5070
Australia,Netherlands,82787
Australia,Portugal,79
Australia,Sweden,362
Australia,United States,140984
Belgium,Austria,2390
Belgium,Australia,1618
Belgium,Canada,1633
Belgium,Switzerland,6046
Belgium,Chile,1
Belgium,Germany,28688
Belgium,Spain,7097
Belgium,Finland,2209
Belgium,France,293681
Belgium,United Kingdom,7838
Belgium,Italy,11300
Belgium,Japan,42329
Belgium,Korea,1267
Belgium,Netherlands,0
Belgium,Portugal,341
Belgium,Sweden,632
Belgium,United States,31286
Canada,Austria,1789
Canada,Australia,9725
Canada,Belgium,3973
Canada,Switzerland,25319
Canada,Chile,30
Canada,Germany,41772
Canada,Spain,5228
Canada,Finland,3532
Canada,France,39027
Canada,United Kingdom,121853
Canada,Italy,2510
Canada,Japan,102256
Canada,Korea,4543
Canada,Netherlands,18101
Canada,Portugal,128
Canada,Sweden,911
Canada,United States,168207
Switzerland,Austria,9916
Switzerland,Australia,3250
Switzerland,Belgium,2117
Switzerland,Canada,14839
Switzerland,Chile,15
Switzerland,Germany,65024
Switzerland,Spain,11124
Switzerland,Finland,821
Switzerland,France,83009
Switzerland,United Kingdom,67141
Switzerland,Italy,19334
Switzerland,Japan,37729
Switzerland,Korea,822
Switzerland,Netherlands,33181
Switzerland,Portugal,2055
Switzerland,Sweden,1794
Switzerland,United States,59744
Chile,Austria,46
Chile,Australia,71
Chile,Belgium,134
Chile,Canada,0
Chile,Switzerland,1868
Chile,Germany,2748
Chile,Spain,67174
Chile,Finland,0
Chile,France,4238
Chile,United Kingdom,2163
Chile,Italy,0
Chile,Japan,7241
Chile,Korea,385
Chile,Netherlands,0
Chile,Portugal,59
Chile,Sweden,274
Chile,United States,9543
Germany,Austria,55113
Germany,Australia,13507
Germany,Belgium,9990
Germany,Canada,24826
Germany,Switzerland,75075
Germany,Chile,84
Germany,Spain,80847
Germany,Finland,12088
Germany,France,207788
Germany,United Kingdom,196328
Germany,Italy,227719
Germany,Japan,105030
Germany,Korea,4120
Germany,Netherlands,213644
Germany,Portugal,2591
Germany,Sweden,40341
Germany,United States,375212
Spain,Austria,5309
Spain,Australia,1082
Spain,Belgium,6512
Spain,Canada,1860
Spain,Switzerland,10029
Spain,Chile,324
Spain,Germany,72748
Spain,Finland,453
Spain,France,122083
Spain,United Kingdom,20840
Spain,Italy,83195
Spain,Japan,46054
Spain,Korea,443
Spain,Netherlands,50662
Spain,Portugal,17698
Spain,Sweden,873
Spain,United States,36949
Finland,Austria,1540
Finland,Australia,523
Finland,Belgium,1790
Finland,Canada,2230
Finland,Switzerland,4797
Finland,Chile,1
Finland,Germany,23860
Finland,Spain,5768
Finland,France,22159
Finland,United Kingdom,8300
Finland,Italy,2502
Finland,Japan,7560
Finland,Korea,41
Finland,Netherlands,8648
Finland,Portugal,355
Finland,Sweden,54900
Finland,United States,11181
France,Austria,15437
France,Australia,8101
France,Belgium,19792
France,Canada,32471
France,Switzerland,71645
France,Chile,246
France,Germany,194580
France,Spain,0
France,Finland,14123
